대상,상품
 기타 우량업체 중 재직기간이 3개월 이상~2년 미만이고 연 환산소득이 2천만원 이상인 만 35세 미만의 고객,72
"교직원으로 근무중이며, 사립학교에 소속된 사람들",73
" 퇴직금이 있거나, 퇴직금 예상액이 있는 사람들",73
 다른 금융기관에 대출중이 아니거나 다중채무자가 아닌 사람들,73
 신용평가시스템(CSS)에 의한 부실징후 혹은 8~9등급에 해당하지 않는 사람들 ,73
 대출한도 내에서 최소 1년 이상 최장 10년 이내로 대출을 상환할 수 있는 사람들,73
KB국민ONE통장을 가입하고 있는 고객,74
 최근 1년 이상 KB국민은행에서 거래한 고객,74
" 거래실적이 우수한 고객으로, 최근 6개월간 총수신 평균잔액이 300만원 이상인 고객",74
 자동이체를 4건 이상 실시한 고객,74
 아파트 관리비를 자동이체하고 있는 고객,74
개인사업자로 사업 등록한 사람,75
 영업중인 개인사업자,75
 영업점에 방문하기 어려운 사람,75
 대출신청을 간편하게 전화나 인터넷으로 하고 싶은 사람,75
 아파트에 거주하며 시세를 기반으로 대출을 받고자 하는 사람,75
개인사업자 및 법인사업자로 등록되어 영업 중인 사람,76
 빌라를 소유하고 있는 사람,76
 사업자 전용 상품을 원하는 사람,76
 대출 한도가 빌라 시세의 최대 90%까지 받을 수 있는 사람,76
 3년 안에 대출을 상환할 수 있는 사람,76
삼성생명 보험에 가입한 사람들 중 해지시 환급금이 많은 사람들,77
 보장형 상품이 아닌 비보장형 상품에 가입한 사람들,77
 대출금리가 낮거나 상환기간이 길게 잡혀 있는 상품을 찾는 사람들,77
 자유로운 상환 방법을 원하는 사람들,77
 추가 자금이 필요한 사람들이 보험계약 대출 상품을 이용하는 경우,77
아파트 주상복합 아파트형 연립주택을 소유한 개인,78
 아파트 시세(KB부동산 한국감정원)의 최대 70% 이하인 개인,78
 최대 8억원까지 대출 가능한 개인,78
 원금균등분할상환이나 거치 후 잔여기간 원금균등분할상환 중 하나의 상환 방법을 선택할 수 있는 개인,78
개인사업자나 법인사업자로 일하는 사람들 중에서 아파트를 소유하고 있는 사람들,79
1% ~ 9.8%인 상품을 찾는 사람들5. 1000만원에서 50억원까지의 대출한도가 필요한 사람들,79
1% ~ 9.8%인 상품을 찾는 사람들,79
 1000만원에서 50억원까지의 대출한도가 필요한 사람들,79
대출한도에 따라 한도가 가중 부여되기 때문에 고액의 자금이 필요한 사람들이 이 대출 상품을 이용할 것입니다.,80
 KB부동산시세의 최대 70% 이하의 담보물건 소재지역에 사는 사람들이 이 대출 상품을 이용할 것입니다.,80
 우수한 납입자로 평가받는 사람들이 이 대출 상품을 이용할 것입니다.,80
 금융거래가 제약될 수 있는 신용등급이 이미 낮아지거나 낮은 사람들이 이 대출 상품을 이용할 것입니다.,80
 개인당행의 고객 중에서 아파트를 소유하고자 하는 사람들이 이 대출 상품을 이용할 것입니다.,80
"아파트 소유자로, 개인 소득을 증명할 수 있는 사람들",81
 대출 신청을 간편하게 전화나 인터넷으로 할 수 있는 사람들,81
1%~,81
8%의 금리를 지불할 수 있는 사람들,81
개인사업을 운영하는 사람들 중에서 아파트를 담보로 대출을 받고자 하는 사람들이 해당 상품을 이용할 것 같습니다.,82
 법인사업을 운영하는 사람들 중에서 아파트를 담보로 대출을 받고자 하는 사람들이 해당 상품을 이용할 것 같습니다.,82
 신용등급이 낮아 다른 금융거래에 제약이 있는 사람들이 해당 상품을 이용할 것 같습니다.,82
 KB부동산의 시세에 비해 가격이 저렴한 아파트를 고려하는 사람들이 해당 상품을 이용할 것 같습니다.,82
" 대출금을 3, 4, 또는 5년 만기일일시 상환하고자 하는 사람들이 해당 상품을 이용할 것 같습니다.",82
개인이 아파트를 소유하고 소득증빙이 가능한 사람,83
 신용등급이 하락해도 금융거래에 제약이 없는 사람,83
 KB부동산 시세의 최대 70% 이하의 담보물건을 소유한 사람,83
 연소득금액이 일정 수준 이상인 사람,83
 원리금균등분할상환 방법으로 대출을 상환할 수 있는 사람,83
예적금에 가입한 경험이 있는 사람,84
 예적금을 매달 꾸준히 불입하고 있는 사람,84
 금리인하요구권 대상이 아닌 사람,84
 대출금리에 예적금 금리 + 1.5%를 감수할 수 있는 사람,84
 대출금액으로 예적금 불입액의 90%까지 필요한 사람,84
예적금 통장을 가지고 있는 사람들,85
 예적금을 꾸준히 납입하고 있는 사람들,85
 대출금리를 상향조정하는 것에 동의한 사람들,85
 예적금 불입액이 큰 사람들,85
 한번에 대출금액을 모두 상환하고 싶은 사람들,85
6개월 이상 보험을 유지하고 있는 소비자들,86
 금리가 6.70 ~ 7%로 고정된 대출 상품을 선호하는 사람들,86
 대출 한도가 300만원 이하인 사람들,86
 1년 동안 만기일시상환으로 대출을 상환하고 싶은 사람들,86
 저렴한 이자율을 유지하며 빠른 현금이 필요한 사람들,86
1년 이상 신용대출을 이미 보유한 사람,87
 대출 금리가 7.90% ~ 17.40%인 상품을 찾는 사람,87
 100만원에서 1000만원의 대출 한도를 필요로 하는 사람,87
 1년부터 5년까지 매월 일정한 원금과 이자를 균등하게 상환하고 싶은 사람,87
 고정된 금리로 대출을 원하는 사람,87
당사 보험고객인 직장인: 대출상품을 이용할 사람들 중 보험회사에 근무하는 직장인들이 많을 것이다.,88
 1년 이상 재직중인 연소득 2000만원 이상 고객: 대출을 받으려면 재직 기간이 1년 이상이며 연소득이 2000만원 이상인 사람들이 대상일 것이다.,88
 대출한도 500만원 ~ 8000만원: 대출 상품을 이용하려는 사람들 중 다양한 금액을 필요로 하는 사람들이 있을 것이다.,88
 상환방법 다양: 원리금 균등분할 상환과 원금 균등분할 상환 등 다양한 상환 방법을 택할 수 있는 사람들이 있을 것이다.,88
재직 기간이 1년 이상인 기업체의 우량직장인,89
 연소득이 2000만원 이상인 고객,89
 고정금리를 선호하는 고객,89
 대출한도가 500만원에서 1억원까지를 희망하는 고객,89
" 1년, 2년 또는 3년의 상환 기간 중 한 가지를 선택하는 고객",89
상반기 성적이 우수한 재직직장인,90
 꾸준한 재직기간과 안정적인 연소득을 가진 법인기업체 임직원,90
 월별 상환금을 균등하게 분할하여 상환 가능한 사람,90
 원리금 균등분할 상환 방식을 선호하는 사람,90
 대출한도 내에서 필요한 금액을 대출하고 싶은 사람,90
동일 기업에 오랜 기간 재직하고 있는 직장인들은 모바일론 대출상품을 이용할 것이다.,91
 연소득이 2500만원 이상인 직장인들은 모바일론 대출을 이용할 가능성이 있다.,91
 대출 한도가 500만원에서 1억원인 모바일론 대출은 대출 금액에 상관없이 다양한 직장인들이 이용할 수 있다.,91
" 상환 기간이 1년, 2년, 3년으로 다양하게 제공되는 모바일론 대출은 상환 방식 선택의 유연성을 갖고 있는데, 이 특징을 활용하고자 하는 사람들이 많을 것이다.",91
" 상환 방식으로는 만기일시상환, 매월 원리금 균등분할 상환, 매월 원금 균등분할 상환 방법을 제공하기 때문에, 각자의 상환 능력과 상황에 맞게 선택할 수 있는 사람들이 모바일론 대출을 이용할 것이다.",91
아파트를 구입하기 위해 자금이 필요한 사람들,92
 가계를 위한 자금이 필요한 사람들,92
 현재 아파트를 소유하고 있는데 추가적인 자금이 필요한 사람들,92
 월 상환액을 낮추기 위해 원리금 균등분할 상환 방법을 선호하는 사람들,92
" 장기적인 대출 상환을 원하는 사람들 (15, 20, 30년 상환 가능)",92
주택을 소유한 사람: 아파트 또는 단독주택을 소유한 사람들은 주택금융공사보금자리론을 이용할 수 있습니다.,93
 연립 및 다세대주택 소유자: 연립 또는 다세대주택을 소유한 사람들도 이 대출 상품을 이용할 수 있습니다.,93
 자금이 필요한 사람: 최소 1천만원부터 최대 5억원까지의 대출 한도를 필요로 하는 사람들이 해당 상품을 이용할 수 있습니다.,93
 주택 금융에 관심이 있는 사람: 주택금융공사보금자리론은 주택 금융에 관심이 있는 사람들에게 적합한 대출 상품입니다.,93
" 변동금리에 대한 걱정이 있는 사람: 이 대출 상품은 변동금리가 아닌 고정금리를 제공하고 있으므로, 변동금리에 대한 걱정이 있는 사람들에게 유리합니다.",93
아파트를 임차한 세대주: 전세자금대출은 주택을 임차한 세대주에게 적합한 대출 상품입니다.,94
 대출한도 최대 5억원: 대출한도가 5억원으로 비교적 큰 금액을 필요로 하는 사람들이 이 상품을 이용할 것으로 예상됩니다.,94
" 전세계약 잔여기간이 1년 미만인 경우 대출불가: 전세자금대출은 전세계약이 남은 기간이 1년 이상인 경우에만 가능하기 때문에, 잔여기간이 1년 미만인 사람들이 이 상품을 이용할 것입니다.",94
" 만기일시상환: 상환 방법이 만기일시상환으로 설정되어 있는데, 이는 이자와 원금을 한번에 상환해야 하기 때문에 금전적으로 안정한 사람들이 이 상품을 선택할 가능성이 높습니다.",94
" 금리변동주기 고정형 6개월: 금리변동주기가 고정형인 6개월로 설정되어 있어, 이자율 변동에 따른 부담을 예측하기 쉬운 사람들이 이 상품을 선택할 것입니다.",94
급한 현금 필요가 있는 사람들,95
 대출 신청과 승인 과정을 간편하게 처리하고 싶은 사람들,95
 송금식 상환 방식으로 편하게 상환하고 싶은 사람들,95
 대출 한도가 높은 상품을 찾고 있는 사람들,95
 대출 승인 후 즉시 송금받아야 하는 사람들,95
법인기업의 사원으로 근무하며 연간 소득이 2천만원 이상인 30세 남성,96
 공무원으로 재직 중인 35세 여성으로 연간 소득이 2천만원 이상,96
 군인으로 복무 중이며 연간 소득이 2천만원 이상인 28세 남성,96
 교직원으로 근무 중인 40세 여성으로 연간 소득이 2천만원 이상,96
 직장에서 1년 이상 근무한 27세 여성으로 연간 소득이 2천만원 이상,96
온라인 쇼핑몰 사업자로 활동 중인 사람,97
 오프라인 매장을 운영하는 사업자,97
 온라인 오픈마켓에 입점한 사업자,97
 소셜 커머스 플랫폼에 입점한 사업자,97
" KG이니시스, LGU+, KCP와 결제 계약을 체결한 독립 온라인 쇼핑몰 사업자",97
한화생명 보험에 가입한 사람들,98
 보험기간 내에 자유로운 상환 방법을 선호하는 사람들,98
 보험계약 대출에 대한 약관을 충족하는 사람들,98
 보험계약 해약기본금의 일부 또는 전액을 대출받고 싶은 사람들,98
한화생명에 보험 가입한 26세 이상의 고객 ,99
 보험 유지 기간이 18개월 이상 된 고객들 ,99
 최근 3개월 동안 정상적으로 보험료를 납입한 고객들 ,99
" 간편하게 전화, 인터넷 또는 모바일을 통해 대출 신청을 할 수 있는 고객들 ",99
 개인 신용 대출 심사 기준을 충족하는 고객들,99
주택 소유자: 주택을 소유하고 있는 개인들.,100
 우대금리 신청자: 주택 가치를 담보로 대출하고 싶어하는 사람들.,100
 부동산 투자자: 주택을 투자용으로 구매한 사람들.,100
 환전자: 주택 담보로 환전을 하고 싶어하는 사람들.,100
